192.168.1.124, 2017-04-27 20:00:41, GET, /, HTTP/1.1, 303, 0.002000
192.168.1.124, 2017-04-27 20:00:43, GET, /welcome/default/index, HTTP/1.1, 200, 1.335000
192.168.1.124, 2017-04-27 20:01:20, GET, /admin/default/index, HTTP/1.1, 200, 0.271000
192.168.1.124, 2017-04-27 20:01:21, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.001000
192.168.1.124, 2017-04-27 20:01:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.124, 2017-04-27 20:01:26, POST, /admin/default/index, HTTP/1.1, 200, 1.099000
192.168.1.124, 2017-04-27 20:01:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.124, 2017-04-27 20:01:30, POST, /admin/default/index, HTTP/1.1, 303, 0.073000
192.168.1.124, 2017-04-27 20:01:30, GET, /admin/default/site, HTTP/1.1, 200, 0.280000
192.168.1.124, 2017-04-27 20:01:31, POST, /admin/default/check_version, HTTP/1.1, 200, 1.256000
192.168.1.124, 2017-04-27 20:01:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.124, 2017-04-27 20:01:49, POST, /admin/default/site, HTTP/1.1, 303, 1.505000
192.168.1.124, 2017-04-27 20:01:50, GET, /admin/default/design/msapp, HTTP/1.1, 200, 0.993000
192.168.1.124, 2017-04-27 20:01:50, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
192.168.1.124, 2017-04-27 20:36:21, GET, /admin/default/index, HTTP/1.1, 303, 0.016000
192.168.1.124, 2017-04-27 20:36:21, GET, /admin/default/site, HTTP/1.1, 200, 0.066000
192.168.1.124, 2017-04-27 20:36:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.124, 2017-04-27 20:36:25, GET, /admin/default/reload_routes, HTTP/1.1, 303, 0.038000
192.168.1.124, 2017-04-27 20:36:25, GET, /admin/default/site, HTTP/1.1, 200, 0.063000
192.168.1.124, 2017-04-27 20:36:27, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
192.168.1.124, 2017-04-27 20:36:31, GET, /, HTTP/1.1, 303, 0.001000
192.168.1.124, 2017-04-27 20:36:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.045000
192.168.1.124, 2017-04-27 20:36:43, GET, /welcome/default/index, HTTP/1.1, 200, 0.028000
192.168.1.124, 2017-04-27 20:36:44, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
192.168.1.124, 2017-04-27 20:36:56, GET, /, HTTP/1.1, 303, 0.002000
192.168.1.124, 2017-04-27 20:36:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.028000
192.168.1.124, 2017-04-27 20:38:45, GET, /msapp, HTTP/1.1, 200, 1.194000
